"from","to","vessels","xx","yx","xy","yy"
"Mainland Marina 14","Mainland MR 2",2,176.18072485,-37.66724799505,176.260862535,-37.2612648203
"Mainland Marina 14","Sanford",4,176.18072485,-37.66724799505,170.497812,-45.887513
"Mainland Marina 15","Mainland Island 54",1,178.025686769,-38.6865385205,178.344879643286,-38.3769742580143
"Mainland Marina 16","Mainland Mussels 20",1,176.892343211,-39.4832270598,174.233087006833,-41.2447358629167
"Mainland Marina 2","Mainland Oysters 21",1,174.1034276155,-35.24046385095,174.128783634167,-35.2517751985
"Mainland Marina 5","Mainland CHS 63",1,174.7357559835,-36.39353752665,175.4310681485,-36.1081288082
"Mainland Marina 5","Mainland Marina 6",1,174.7357559835,-36.39353752665,174.788355122,-36.620952782
"Mainland Marina 5","Mainland Mooring 42",1,174.7357559835,-36.39353752665,174.5217148356,-35.83060401092
"Mainland Marina 5","Mainland Mussels 58",1,174.7357559835,-36.39353752665,174.745251841,-36.3965387897
"Mainland Marina 5","Mainland Oysters 22",1,174.7357559835,-36.39353752665,174.222283953,-35.2200093351
"Mainland Marina 6","Mainland Island 75",1,174.788355122,-36.620952782,174.889879607,-36.6008138366
"Mainland Marina 6","Mainland Mooring 50",2,174.788355122,-36.620952782,175.484314823333,-36.3264657695333
"Mainland Marina 6","Mainland Mooring 54",2,174.788355122,-36.620952782,174.726266053333,-36.4982412371667
"Mainland Marina 6","Mainland Mooring 59",1,174.788355122,-36.620952782,175.0339161016,-36.82694775294
"Mainland Marina 6","Mainland Mooring 60",1,174.788355122,-36.620952782,175.054278319,-36.7799339133
"Mainland Marina 6","Mainland Mooring 62",1,174.788355122,-36.620952782,174.9063578104,-36.88621788714
"Mainland Marina 6","Mainland Mooring 64",1,174.788355122,-36.620952782,174.799140037429,-36.8335831537
"Mainland Marina 6","Mainland Mooring 65",5,174.788355122,-36.620952782,174.829097479333,-36.4237396672
"Mainland Marina 6","Mainland Salmon 12",1,174.788355122,-36.620952782,174.817813456,-36.4171652096
"Mainland Marina 6","Smokehouse Bay",2,174.788355122,-36.620952782,175.3353,-36.2057
"Mainland Marina 7","Mainland Island 80",1,174.769023108,-36.7416808893,175.4070954425,-36.039032408725
"Mainland Marina 8","Mainland Marina 6",1,174.673938038,-36.8181676908,174.788355122,-36.620952782
"Mainland Marina 9","Mainland Beach 10",1,174.7806808478,-36.84457156828,175.791444444,-36.6934444444
"Mainland Marina 9","Mainland CHS 10",3,174.7806808478,-36.84457156828,175.525633969,-37.1689870719333
"Mainland Marina 9","Mainland Island 10",3,174.7806808478,-36.84457156828,175.793576305,-36.6985332257
"Mainland Marina 9","Mainland Island 13",1,174.7806808478,-36.84457156828,174.732162756087,-35.9507358592261
"Mainland Marina 9","Mainland Island 76",2,174.7806808478,-36.84457156828,175.3662661385,-36.44194879685
"Mainland Marina 9","Mainland Island 87",1,174.7806808478,-36.84457156828,173.367481428118,-34.7784350350235
"Mainland Marina 9","Mainland Marina 12",1,174.7806808478,-36.84457156828,175.860119601,-37.0004760284
"Mainland Marina 9","Mainland Marina 6",1,174.7806808478,-36.84457156828,174.788355122,-36.620952782
"Mainland Marina 9","Mainland Mooring 28",3,174.7806808478,-36.84457156828,175.772892556,-36.6005389888
