name,nID,Region,lon,lat
Mainland Mooring 31,1111,Waikato Region,175.854999,-37.00717305
Mainland Beach 75,1444,Northland Region,173.388053,-34.80824802
Mainland Mussels 45,1669,Northland Region,173.167434,-34.80671724
Mainland Marina 20,1072,Marlborough Region,173.7785515,-41.27600706
Mainland Mooring 39,1119,Auckland Region,174.6263955,-36.08844195
Mainland MR 18,1202,Marlborough Region,174.2875294,-41.11421859
Mainland MR 22,1206,Auckland Region,175.1322949,-36.84831226
Mainland Island 11,1472,Waikato Region,175.8746827,-36.64255099
Mainland Island 76,1568,Waikato Region,175.3662661,-36.4419488
Mainland Mussels 15,1623,Marlborough Region,174.0654145,-41.2301478
Mainland Oysters 8,1643,Marlborough Region,174.0168354,-41.18072668
Mainland Mooring 32,1112,Waikato Region,175.8764112,-37.19695687
Mainland Mooring 97,1177,Tasman Region,173.0318159,-41.01975639
Mainland Island 80,1572,Auckland Region,175.4070954,-36.03903241
Mainland Aquaculture 4,1689,Waikato Region,175.4513903,-36.73294846
Mainland Salmon 10,1700,Southland Region,168.3383619,-46.59652502
Mainland Island 73,1565,Waikato Region,175.9231707,-36.62385063
Mainland Marina 3,1055,Northland Region,174.5550817,-35.60459378
Mainland Mooring 2,1079,Canterbury Region,172.937592,-43.79952451
Mainland Mooring 43,1123,Northland Region,174.4161348,-35.80984226
Mainland Mooring 47,1127,Northland Region,174.3411403,-35.3128583
Mainland MR 37,1221,Auckland Region,174.7947224,-36.26481851
Mainland MR 38,1222,Auckland Region,174.6789778,-36.8681218
Mainland Beach 69,1436,Waikato Region,175.8625014,-36.87548225
Mainland Island 83,1574,Northland Region,174.5863753,-35.82879572
Mainland Island 85,1575,Northland Region,173.9821463,-34.99406332
Mainland Mussels 20,1629,Marlborough Region,174.233087,-41.24473586
Mainland Mussels 56,1695,Northland Region,173.7647074,-34.96163245
Mainland Mooring 12,1092,Taranaki Region,174.0456748,-39.05704043
Mainland Mooring 66,1146,Marlborough Region,174.1271989,-41.33638803
Mainland Mooring 99,1179,Tasman Region,173.0337206,-40.85083792
Mainland CHS 3,1227,Northland Region,172.9620344,-34.42625992
Mainland CHS 19,1243,Bay of Plenty Region,177.9929738,-37.56969905
Mainland CHS 77,1301,Canterbury Region,171.2746468,-44.39546344
Mainland Beach 1,1364,Hawke's Bay Region,176.9559797,-39.3540982
Mainland Beach 10,1376,Waikato Region,175.7914444,-36.69344444
Mainland Island 54,1546,Gisborne Region,178.3448796,-38.37697426
Mainland Island 90,1581,Northland Region,172.8567739,-34.42073321
Mainland Mussels 22,1632,Waikato Region,175.4674524,-36.51428026
Mainland Mussels 59,1647,Marlborough Region,174.1985127,-40.99508155
Mainland Mooring 9,1089,Bay of Plenty Region,176.1834135,-37.66859873
Mainland Mooring 18,1098,Southland Region,168.1492435,-46.88558379
Mainland Mooring 70,1150,Marlborough Region,173.8027296,-40.86191072
Mainland MR 5,1188,Southland Region,168.109126,-46.94073307
Mainland CHS 12,1236,Waikato Region,175.5534749,-36.58847647
Mainland Island 69,1561,Auckland Region,174.7405786,-36.95529356
Mainland Salmon 4,1638,Marlborough Region,174.317369,-41.15697633
Mainland Mussels 57,1697,Auckland Region,175.3298887,-36.91937955
Waiaka Bay,1741,Gisborne Region,178.1583749,-37.54299042
Mainland Marina 23,1075,Tasman Region,172.891093,-40.81472745
Mainland Mooring 53,1133,Auckland Region,174.7427249,-36.40368021
Mainland Mooring 68,1148,Marlborough Region,173.8238783,-40.94855587
Mainland Mooring 93,1173,Otago Region,170.9893916,-45.10689955
Mainland MR 2,1185,Bay of Plenty Region,176.2608625,-37.26126482
Mainland CHS 20,1244,Gisborne Region,178.3465989,-37.59770459
Mainland CHS 21,1245,Gisborne Region,178.3052179,-38.37488026
Mainland CHS 64,1288,Auckland Region,175.477856,-36.2195626
Mainland Oysters 3,1600,Auckland Region,175.1255921,-36.93275347
Mainland Oysters 7,1606,Northland Region,173.7706299,-35.00049942
Mainland Mussels 7,1613,Tasman Region,172.9176613,-40.80555601
Mainland Mussels 13,1619,Marlborough Region,173.9806507,-40.92387289
Mainland Mussels 14,1622,Marlborough Region,173.7887969,-40.97293686
Mainland Oysters 9,1645,Waikato Region,175.6406363,-36.70426233
Mainland Mussels 41,1661,Wellington Region,174.8403369,-41.35114512
Mainland Oysters 20,1682,Northland Region,173.1525769,-34.76543741
Mainland Marina 24,1076,Canterbury Region,172.7009228,-43.57161984
Mainland Mooring 14,1094,Southland Region,166.9890203,-45.32126043
Mainland Mooring 77,1157,Marlborough Region,173.804539,-41.06421435
Mainland Mooring 78,1158,Marlborough Region,173.8738819,-41.18782225
Mainland Beach 33,1399,Auckland Region,174.6977093,-36.95183424
Mainland Beach 54,1421,Wellington Region,175.1137065,-41.39906421
Mainland Island 9,1470,Waikato Region,175.9133561,-36.70418108
Mainland Island 36,1521,Southland Region,166.6272496,-45.78038756
Mainland Island 129,1544,Hawke's Bay Region,177.8920056,-39.06569697
Mainland Island 81,1573,Northland Region,174.6976664,-36.00200544
Mainland Mussels 1,1595,Hawke's Bay Region,177.8339997,-39.15045682
Mainland Salmon 3,1631,Southland Region,168.1258913,-46.9519414
Mainland Mussels 25,1635,Marlborough Region,174.3464774,-41.15805653
Mainland Mussels 26,1636,Marlborough Region,173.9001261,-40.86784882
Mainland Mussels 30,1646,Marlborough Region,173.8894862,-40.75432666
Mainland Oysters 10,1649,Northland Region,172.9631736,-34.53600193
Mainland Aquaculture 6,1698,Marlborough Region,173.8894862,-41.09402
Mainland Mooring 3,1080,Canterbury Region,172.8370337,-43.62460576
Mainland Mooring 48,1128,Northland Region,173.2714332,-34.91396238
Mainland Mooring 67,1147,Marlborough Region,173.6835455,-41.07614785
Mainland Mooring 73,1153,Marlborough Region,173.9657756,-40.78827881
Mainland Mooring 86,1166,Marlborough Region,174.2881454,-41.22938595
Mainland Mooring 96,1176,Tasman Region,173.0337206,-41.10904553
Mainland MR 27,1211,Antipodes Islands,178.7735719,-49.6779645
Mainland CHS 7,1231,Northland Region,174.578853,-35.74037133
Mainland CHS 11,1235,Waikato Region,175.4108473,-36.58847647
Mainland CHS 13,1237,Waikato Region,175.8876789,-37.11066046
Mainland CHS 22,1246,Gisborne Region,177.9473952,-38.78323363
Mainland Beach 30,1396,Northland Region,172.8052262,-34.45130345
Mainland Beach 35,1401,Northland Region,173.0337206,-34.4312738
Mainland Beach 44,1411,Southland Region,167.6427295,-47.21195682
Mainland Beach 45,1412,Southland Region,168.184382,-47.07475983
Mainland Beach 61,1428,Waikato Region,175.8860065,-37.09219617
