"from","to","vessels","xx","yx","xy","yy"
"Mainland Beach 29","Mainland Mooring 27",1,175.482161136333,-36.1545944806333,175.465709040333,-36.5225860606667
"Mainland Beach 29","Mainland Mooring 42",1,175.482161136333,-36.1545944806333,174.5217148356,-35.83060401092
"Mainland Beach 29","Mainland Mooring 50",3,175.482161136333,-36.1545944806333,175.484314823333,-36.3264657695333
"Mainland Beach 29","Mainland Mooring 52",5,175.482161136333,-36.1545944806333,175.3452219984,-36.16394118716
"Mainland Beach 29","Mainland Mooring 64",1,175.482161136333,-36.1545944806333,174.799140037429,-36.8335831537
"Mainland Beach 29","Mainland Mussels 29",3,175.482161136333,-36.1545944806333,175.341963074222,-36.1619629048222
"Mainland Beach 29","Mainland Oysters 16",1,175.482161136333,-36.1545944806333,175.169953813,-36.8029395727
"Mainland Beach 29","Mainland Oysters 19",2,175.482161136333,-36.1545944806333,175.696102545,-36.8222867555
"Mainland Beach 30","Mainland Beach 35",1,172.8052261705,-34.4513034507,173.033720573,-34.4312737998
"Mainland Beach 33","Mainland Island 69",1,174.697709305,-36.9518342411,174.740578605,-36.9552935626333
"Mainland Beach 33","Mainland Mooring 21",1,174.697709305,-36.9518342411,174.8476577378,-41.35326034438
"Mainland Beach 33","Mainland Mooring 64",1,174.697709305,-36.9518342411,174.799140037429,-36.8335831537
"Mainland Beach 35","Mainland Beach 30",1,173.033720573,-34.4312737998,172.8052261705,-34.4513034507
"Mainland Beach 35","Mainland Mooring 12",1,173.033720573,-34.4312737998,174.045674799,-39.057040434
"Mainland Beach 41","Mainland Marina 21",1,173.459180364,-41.1597487394,173.28112545,-41.2598353107
"Mainland Beach 44","Mainland CHS 126",1,167.642729505,-47.2119568174,167.61387156,-47.2692798305
"Mainland Beach 44","Mainland Island 3",1,167.642729505,-47.2119568174,167.6478175542,-47.2194513409133
"Mainland Beach 45","Mainland Beach 44",1,168.184381983,-47.0747598284,167.642729505,-47.2119568174
"Mainland Beach 45","Mainland Mooring 18",1,168.184381983,-47.0747598284,168.149243514,-46.8855837933
"Mainland Beach 50","Mainland Mooring 12",1,174.9164748795,-41.00307589095,174.045674799,-39.057040434
"Mainland Beach 53","Mainland Mooring 6",1,173.55668846,-42.4728508468,173.699316066,-42.4024193199
"Mainland Beach 54","Mainland Mussels 25",1,175.1137064885,-41.3990642132,174.346477385667,-41.1580565286333
"Mainland Beach 61","Mainland Marina 9",1,175.886006494,-37.0921961669,174.7806808478,-36.84457156828
"Mainland Beach 61","Mainland Mooring 64",1,175.886006494,-37.0921961669,174.799140037429,-36.8335831537
"Mainland Beach 69","Mainland Marina 11",1,175.862501418,-36.8754822539,175.70634073,-36.8220996925
"Mainland Beach 69","Mainland Marina 14",2,175.862501418,-36.8754822539,176.18072485,-37.66724799505
"Mainland Beach 69","Mainland Marina 9",1,175.862501418,-36.8754822539,174.7806808478,-36.84457156828
"Mainland Beach 69","Mainland Mooring 29",2,175.862501418,-36.8754822539,175.814958883,-36.7608098067
"Mainland Beach 69","Mainland Mooring 30",1,175.862501418,-36.8754822539,175.7147572755,-36.82193521195
"Mainland Beach 70","Mainland Island 63",1,174.578852967,-35.817853824,175.91971452925,-37.086042272775
"Mainland Beach 75","Mainland CHS 4",3,173.388052969,-34.808248018,173.437832122,-34.8242664982
"Mainland Beach 75","Mainland Island 85",1,173.388052969,-34.808248018,173.982146294111,-34.9940633187778
"Mainland Beach 75","Mainland Marina 1",1,173.388052969,-34.808248018,173.741918150416,-35.0639430610256
"Mainland Beach 75","Mainland Mooring 40",1,173.388052969,-34.808248018,173.5128284085,-34.9897998043
"Mainland Beach 75","Mainland Mooring 41",1,173.388052969,-34.808248018,174.551119822,-35.6207688664667
"Mainland Beach 75","Mainland Mooring 44",3,173.388052969,-34.808248018,173.7677530242,-35.00289248482
"Mainland Beach 75","Mainland Oysters 23",1,173.388052969,-34.808248018,174.459996629,-35.817853824
"Mainland CHS 10","Mainland Marina 9",8,175.525633969,-37.1689870719333,174.7806808478,-36.84457156828
"Mainland CHS 10","Mainland Mooring 51",7,175.525633969,-37.1689870719333,175.394999821667,-36.2618971699
"Mainland CHS 10","Mainland Mooring 52",2,175.525633969,-37.1689870719333,175.3452219984,-36.16394118716
"Mainland CHS 10","Mainland Mooring 57",4,175.525633969,-37.1689870719333,175.169568132,-36.9355424265
"Mainland CHS 10","Mainland Mooring 59",1,175.525633969,-37.1689870719333,175.0339161016,-36.82694775294
"Mainland CHS 10","Mainland Mooring 64",2,175.525633969,-37.1689870719333,174.799140037429,-36.8335831537
"Mainland CHS 11","Mainland Island 79",1,175.410847333,-36.5884764734,175.470518094,-36.133401488375
"Mainland CHS 11","Mainland Oysters 16",1,175.410847333,-36.5884764734,175.169953813,-36.8029395727
"Mainland CHS 12","Mainland Beach 24",1,175.553474939,-36.5884764734,175.484194055333,-36.2454641751333
"Mainland CHS 12","Mainland Island 67",1,175.553474939,-36.5884764734,176.081709432397,-36.9588858977016
"Mainland CHS 12","Mainland Island 79",1,175.553474939,-36.5884764734,175.470518094,-36.133401488375
"Mainland CHS 12","Mainland Mooring 64",1,175.553474939,-36.5884764734,174.799140037429,-36.8335831537
"Mainland CHS 121","Mainland Mooring 87",1,168.231924518,-47.0422701208,170.601279825111,-45.8426899575242
"Mainland CHS 126","Mainland Island 21",1,167.61387156,-47.2692798305,168.19927477115,-47.113961624585
"Mainland CHS 13","Mainland Marina 13",2,175.88767894,-37.1106604636,175.866510328,-37.1970358491
"Mainland CHS 15","Mainland Mooring 11",1,176.8818313,-37.9094252543,177.02729353,-37.937372686
"Mainland CHS 19","Mainland CHS 22",1,177.992973811,-37.5696990508,177.9473951855,-38.78323362835
"Mainland CHS 19","Mainland Marina 15",2,177.992973811,-37.5696990508,178.025686769,-38.6865385205
"Mainland CHS 19","Mainland Mooring 11",1,177.992973811,-37.5696990508,177.02729353,-37.937372686
"Mainland CHS 19","Mainland Mooring 52",1,177.992973811,-37.5696990508,175.3452219984,-36.16394118716
"Mainland CHS 19","Mainland MR 23",1,177.992973811,-37.5696990508,175.791613051,-36.819740851
"Mainland CHS 20","Mainland Marina 15",1,178.346598882,-37.5977045927,178.025686769,-38.6865385205
"Mainland CHS 20","Mainland Marina 16",1,178.346598882,-37.5977045927,176.892343211,-39.4832270598
"Mainland CHS 20","Mainland Mooring 11",1,178.346598882,-37.5977045927,177.02729353,-37.937372686
"Mainland CHS 20","Waiaka Bay",1,178.346598882,-37.5977045927,178.158374909902,-37.5429904189488
"Mainland CHS 21","Mainland CHS 20",1,178.305217865,-38.3748802593,178.346598882,-37.5977045927
"Mainland CHS 21","Mainland Marina 16",2,178.305217865,-38.3748802593,176.892343211,-39.4832270598
"Mainland CHS 21","Mainland Mooring 11",1,178.305217865,-38.3748802593,177.02729353,-37.937372686
"Mainland CHS 22","Mainland Island 129",1,177.9473951855,-38.78323362835,177.892005599,-39.0656969722
"Mainland CHS 22","Mainland Marina 15",1,177.9473951855,-38.78323362835,178.025686769,-38.6865385205
"Mainland CHS 3","Mainland Beach 30",1,172.962034394,-34.4262599167,172.8052261705,-34.4513034507
"Mainland CHS 3","Mainland Beach 75",2,172.962034394,-34.4262599167,173.388052969,-34.808248018
"Mainland CHS 3","Mainland CHS 4",2,172.962034394,-34.4262599167,173.437832122,-34.8242664982
