name,nID,Region,Cmmn_nm,lon,lat
Mainland MR 7,1191,Southland Region,Unnamed,167.8913258,-44.63457861
Mainland MR 9,1193,Southland Region,Unnamed,167.0370248,-45.36280186
Mainland MR 10,1194,Southland Region,Unnamed,166.8294197,-45.74524508
Mainland MR 18,1202,Marlborough Region,Unnamed,174.2875294,-41.11421859
Mainland MR 19,1203,Northland Region,Whangarei Harbour Marine Reserve,174.3933379,-35.793184
Mainland MR 22,1206,Auckland Region,Unnamed,175.1322949,-36.84831226
Mainland MR 23,1207,Waikato Region,Unnamed,175.7916131,-36.81974085
Mainland MR 37,1221,Auckland Region,Unnamed,174.7947224,-36.26481851
Mainland MR 38,1222,Auckland Region,Unnamed,174.6789778,-36.8681218
Mainland MR 39,1223,Auckland Region,Unnamed,174.7452518,-36.66511713
Mainland CHS 2,1226,Northland Region,Tapotupotu Bay,172.715136,-34.43280368
Mainland CHS 3,1227,Northland Region,Waitangi Stream,172.9620344,-34.42625992
Mainland CHS 4,1228,Northland Region,Matai Bay,173.4378321,-34.8242665
Mainland CHS 5,1229,Northland Region,Waimahana Bay,173.6252551,-34.94874268
Mainland CHS 7,1231,Northland Region,Ngunguru River & Taiharuru Bay,174.578853,-35.74037133
Mainland CHS 8,1232,Northland Region,Bream Bay,174.4837679,-35.97259011
Mainland CHS 11,1235,Waikato Region,Unnamed,175.4108473,-36.58847647
Mainland CHS 12,1236,Waikato Region,Unnamed,175.5534749,-36.58847647
Mainland CHS 13,1237,Waikato Region,Unnamed,175.8876789,-37.11066046
Mainland CHS 20,1244,Gisborne Region,Unnamed,178.3465989,-37.59770459
Mainland CHS 21,1245,Gisborne Region,Unnamed,178.3052179,-38.37488026
Mainland CHS 22,1246,Gisborne Region,Unnamed,177.9473952,-38.78323363
Mainland CHS 63,1287,Auckland Region,Rangiwhakaea Bay,175.4310681,-36.10812881
Mainland CHS 64,1288,Auckland Region,Awana Bay,175.477856,-36.2195626
Mainland Beach 10,1376,Waikato Region,Unnamed,175.7914444,-36.69344444
Mainland Beach 24,1390,Auckland Region,Kaitoke Beach,175.4841941,-36.24546418
Mainland Beach 29,1395,Auckland Region,Overtons Beach,175.4821611,-36.15459448
Mainland Beach 34,1400,Northland Region,Tokerau Beach,173.3902896,-34.90263937
Mainland Beach 35,1401,Northland Region,Waikuku Beach,173.0337206,-34.4312738
Mainland Beach 44,1411,Southland Region,Unnamed,167.6427295,-47.21195682
Mainland Beach 69,1436,Waikato Region,Unnamed,175.8625014,-36.87548225
Mainland Beach 70,1437,Northland Region,Ocean Beach,174.578853,-35.81785382
Mainland Beach 75,1444,Northland Region,Wairaka Beach,173.388053,-34.80824802
Mainland Island 7,1467,Bay of Plenty Region,Unnamed,176.427146,-37.62318093
Mainland Island 67,1468,Waikato Region,Unnamed,176.0817094,-36.9588859
Mainland Island 10,1471,Waikato Region,Unnamed,175.7935763,-36.69853323
Mainland Island 11,1472,Waikato Region,Unnamed,175.8746827,-36.64255099
Mainland Island 13,1473,Northland Region,Hen Island,174.7321628,-35.95073586
Mainland Island 12,1474,Auckland Region,Unnamed,175.1519787,-35.93326371
Mainland Island 82,1475,Auckland Region,Unnamed,175.1045345,-35.91000549
Mainland Island 14,1476,Northland Region,Marotere Islands (Chickens),174.7329046,-35.88870087
Mainland Island 84,1477,Northland Region,Pareparea Bay Islands,174.4612136,-35.47498265
Mainland Island 54,1546,Gisborne Region,Unnamed,178.3448796,-38.37697426
Mainland Island 62,1555,Bay of Plenty Region,Unnamed,176.0920915,-37.54490681
Mainland Island 63,1556,Waikato Region,Unnamed,175.9197145,-37.08604227
Mainland Island 72,1564,Auckland Region,Unnamed,175.1703413,-36.72299274
Mainland Island 73,1565,Waikato Region,Unnamed,175.9231707,-36.62385063
