from,to,fromnID,tonID,vessels,Perc_tot,xx,yx,xy,yy
Mainland Mooring 64,Mainland Beach 29,1144,1395,1,0.008832362,174.79914,-36.83358315,175.4821611,-36.15459448
Mainland Mooring 51,Mainland Beach 29,1131,1395,1,0.008832362,175.3949998,-36.26189717,175.4821611,-36.15459448
Mainland Marina 9,Mainland Beach 29,1061,1395,1,0.008832362,174.7806808,-36.84457157,175.4821611,-36.15459448
Mainland Island 79,Mainland Beach 29,1571,1395,1,0.008832362,175.4705181,-36.13340149,175.4821611,-36.15459448
Mainland Marina 4,Mainland Beach 29,1056,1395,3,0.026497085,174.4165507,-35.81754382,175.4821611,-36.15459448
Mainland Mooring 41,Mainland Beach 29,1121,1395,1,0.008832362,174.5511198,-35.62076887,175.4821611,-36.15459448
Mainland Mooring 50,Mainland Beach 29,1130,1395,1,0.008832362,175.4843148,-36.32646577,175.4821611,-36.15459448
Mainland Mooring 52,Mainland Beach 29,1132,1395,3,0.026497085,175.345222,-36.16394119,175.4821611,-36.15459448
Mainland Marina 1,Mainland Beach 34,1053,1400,1,0.008832362,173.7419182,-35.06394306,173.3902896,-34.90263937
Mainland Mooring 44,Mainland Beach 35,1124,1401,1,0.008832362,173.767753,-35.00289248,173.0337206,-34.4312738
Mainland CHS 4,Mainland Beach 35,1228,1401,2,0.017664724,173.4378321,-34.8242665,173.0337206,-34.4312738
Mainland MR 10,Mainland Beach 44,1194,1411,1,0.008832362,166.8294197,-45.74524508,167.6427295,-47.21195682
Mainland Marina 16,Mainland Beach 69,1068,1436,6,0.052994171,176.8923432,-39.48322706,175.8625014,-36.87548225
Mainland Mussels 19,Mainland Beach 69,1628,1436,1,0.008832362,175.6247887,-36.66511713,175.8625014,-36.87548225
Mainland Island 63,Mainland Beach 69,1556,1436,1,0.008832362,175.9197145,-37.08604227,175.8625014,-36.87548225
Mainland MR 2,Mainland Beach 69,1185,1436,2,0.017664724,176.2608625,-37.26126482,175.8625014,-36.87548225
Mainland Mooring 30,Mainland Beach 69,1110,1436,2,0.017664724,175.7147573,-36.82193521,175.8625014,-36.87548225
Mainland Mooring 28,Mainland Beach 69,1108,1436,1,0.008832362,175.7728926,-36.60053899,175.8625014,-36.87548225
Mainland Marina 14,Mainland Beach 69,1066,1436,74,0.653594771,176.1807249,-37.667248,175.8625014,-36.87548225
Mainland Mooring 51,Mainland Beach 69,1131,1436,1,0.008832362,175.3949998,-36.26189717,175.8625014,-36.87548225
Mainland Mooring 60,Mainland Beach 70,1140,1437,1,0.008832362,175.0542783,-36.77993391,174.578853,-35.81785382
Mainland Island 75,Mainland Beach 70,1567,1437,1,0.008832362,174.8898796,-36.60081384,174.578853,-35.81785382
Mainland Oysters 16,Mainland Beach 75,1597,1444,63,0.556438792,175.1699538,-36.80293957,173.388053,-34.80824802
Mainland Mooring 40,Mainland Beach 75,1120,1444,6,0.052994171,173.5128284,-34.9897998,173.388053,-34.80824802
Mainland Mooring 52,Mainland CHS 11,1132,1235,1,0.008832362,175.345222,-36.16394119,175.4108473,-36.58847647
Mainland Mooring 50,Mainland CHS 11,1130,1235,1,0.008832362,175.4843148,-36.32646577,175.4108473,-36.58847647
Mainland Mussels 54,Mainland CHS 11,1694,1235,1,0.008832362,175.1696467,-36.80611424,175.4108473,-36.58847647
Mainland Beach 69,Mainland CHS 11,1436,1235,2,0.017664724,175.8625014,-36.87548225,175.4108473,-36.58847647
Mainland Mooring 65,Mainland CHS 11,1145,1235,2,0.017664724,174.8290975,-36.42373967,175.4108473,-36.58847647
Mainland Mooring 28,Mainland CHS 11,1108,1235,2,0.017664724,175.7728926,-36.60053899,175.4108473,-36.58847647
Mainland Mooring 62,Mainland CHS 11,1142,1235,1,0.008832362,174.9063578,-36.88621789,175.4108473,-36.58847647
Mainland Mooring 63,Mainland CHS 11,1143,1235,1,0.008832362,174.6975767,-36.83036881,175.4108473,-36.58847647
Mainland Mussels 48,Mainland CHS 11,1678,1235,1,0.008832362,175.3993694,-36.69642505,175.4108473,-36.58847647
Mainland Marina 6,Mainland CHS 11,1058,1235,1,0.008832362,174.7883551,-36.62095278,175.4108473,-36.58847647
Mainland Island 84,Mainland CHS 11,1477,1235,1,0.008832362,174.4612136,-35.47498265,175.4108473,-36.58847647
Mainland Island 14,Mainland CHS 11,1476,1235,1,0.008832362,174.7329046,-35.88870087,175.4108473,-36.58847647
Mainland Mooring 26,Mainland CHS 11,1106,1235,1,0.008832362,175.4757936,-36.7642383,175.4108473,-36.58847647
Mainland Mooring 51,Mainland CHS 11,1131,1235,1,0.008832362,175.3949998,-36.26189717,175.4108473,-36.58847647
Mainland Mussels 22,Mainland CHS 12,1632,1236,1,0.008832362,175.4674524,-36.51428026,175.5534749,-36.58847647
Mainland Mooring 28,Mainland CHS 12,1108,1236,1,0.008832362,175.7728926,-36.60053899,175.5534749,-36.58847647
Mainland Mooring 29,Mainland CHS 12,1109,1236,1,0.008832362,175.8149589,-36.76080981,175.5534749,-36.58847647
Mainland Oysters 16,Mainland CHS 13,1597,1237,1,0.008832362,175.1699538,-36.80293957,175.8876789,-37.11066046
Mainland Mooring 52,Mainland CHS 2,1132,1226,1,0.008832362,175.345222,-36.16394119,172.715136,-34.43280368
Mainland Mooring 9,Mainland CHS 20,1089,1244,4,0.035329447,176.1834135,-37.66859873,178.3465989,-37.59770459
Mainland CHS 20,Mainland CHS 21,1244,1245,1,0.008832362,178.3465989,-37.59770459,178.3052179,-38.37488026
Mainland Island 54,Mainland CHS 22,1546,1246,3,0.026497085,178.3448796,-38.37697426,177.9473952,-38.78323363
Mainland Mussels 45,Mainland CHS 3,1669,1227,1,0.008832362,173.167434,-34.80671724,172.9620344,-34.42625992
Mainland Mooring 28,Mainland CHS 3,1108,1227,1,0.008832362,175.7728926,-36.60053899,172.9620344,-34.42625992
Mainland Mooring 36,Mainland CHS 4,1116,1228,1,0.008832362,174.2344349,-35.23128279,173.4378321,-34.8242665
Mainland Oysters 21,Mainland CHS 4,1683,1228,1,0.008832362,174.1287836,-35.2517752,173.4378321,-34.8242665
Mainland Oysters 22,Mainland CHS 4,1684,1228,1,0.008832362,174.222284,-35.22000934,173.4378321,-34.8242665
Mainland Marina 1,Mainland CHS 4,1053,1228,9,0.079491256,173.7419182,-35.06394306,173.4378321,-34.8242665
Mainland Mooring 44,Mainland CHS 5,1124,1229,4,0.035329447,173.767753,-35.00289248,173.6252551,-34.94874268
Mainland Mooring 40,Mainland CHS 5,1120,1229,1,0.008832362,173.5128284,-34.9897998,173.6252551,-34.94874268
Mainland Marina 1,Mainland CHS 5,1053,1229,4,0.035329447,173.7419182,-35.06394306,173.6252551,-34.94874268
Mainland Mussels 48,Mainland CHS 5,1678,1229,1,0.008832362,175.3993694,-36.69642505,173.6252551,-34.94874268
Mainland Mooring 30,Mainland CHS 5,1110,1229,1,0.008832362,175.7147573,-36.82193521,173.6252551,-34.94874268
Mainland Marina 14,Mainland CHS 5,1066,1229,3,0.026497085,176.1807249,-37.667248,173.6252551,-34.94874268
Mainland Oysters 7,Mainland CHS 5,1606,1229,1,0.008832362,173.7706299,-35.00049942,173.6252551,-34.94874268
Mainland Oysters 22,Mainland CHS 63,1684,1287,1,0.008832362,174.222284,-35.22000934,175.4310681,-36.10812881
Mainland Beach 29,Mainland CHS 63,1395,1287,1,0.008832362,175.4821611,-36.15459448,175.4310681,-36.10812881
Mainland Marina 4,Mainland CHS 63,1056,1287,3,0.026497085,174.4165507,-35.81754382,175.4310681,-36.10812881
Mainland Island 78,Mainland CHS 63,1570,1287,1,0.008832362,175.0796397,-36.18520786,175.4310681,-36.10812881
Mainland Mussels 29,Mainland CHS 63,1625,1287,1,0.008832362,175.3419631,-36.1619629,175.4310681,-36.10812881
Mainland Oysters 23,Mainland CHS 63,1685,1287,1,0.008832362,174.4599966,-35.81785382,175.4310681,-36.10812881
