name,nID,Region,Cmmn_nm,per_inc,TON,lon,lat
Mainland CHS 8,1232,Northland Region,Bream Bay,0.05,0.05,174.4837679,-35.97259011
Mainland CHS 11,1235,Waikato Region,Unnamed,0.42,0.09,175.4108473,-36.58847647
Mainland CHS 12,1236,Waikato Region,Unnamed,0.21,0.04,175.5534749,-36.58847647
Mainland CHS 63,1287,Auckland Region,Rangiwhakaea Bay,0.39,0.29,175.4310681,-36.10812881
Mainland CHS 64,1288,Auckland Region,Awana Bay,0.09,0.07,175.477856,-36.2195626
Mainland Beach 10,1376,Waikato Region,Unnamed,0.53,0.11,175.7914444,-36.69344444
Mainland Beach 24,1390,Auckland Region,Kaitoke Beach,0.7,0.51,175.4841941,-36.24546418
Mainland Beach 29,1395,Auckland Region,Overtons Beach,0.15,0.11,175.4821611,-36.15459448
Mainland Beach 34,1400,Northland Region,Tokerau Beach,0.03,0.03,173.3902896,-34.90263937
Mainland Beach 69,1436,Waikato Region,Unnamed,0.64,0.13,175.8625014,-36.87548225
Mainland Beach 70,1437,Northland Region,Ocean Beach,0.03,0.03,174.578853,-35.81785382
Mainland Beach 75,1444,Northland Region,Wairaka Beach,0.29,0.29,173.388053,-34.80824802
Mainland Island 67,1468,Waikato Region,Unnamed,0,0,176.0817094,-36.9588859
Mainland Island 10,1471,Waikato Region,Unnamed,0.85,0.18,175.7935763,-36.69853323
Mainland Island 11,1472,Waikato Region,Unnamed,0.85,0.18,175.8746827,-36.64255099
Mainland Island 13,1473,Northland Region,Hen Island,0.03,0.03,174.7321628,-35.95073586
Mainland Island 12,1474,Auckland Region,Unnamed,0.03,0.02,175.1519787,-35.93326371
Mainland Island 82,1475,Auckland Region,Unnamed,0.15,0.11,175.1045345,-35.91000549
Mainland Island 84,1477,Northland Region,Pareparea Bay Islands,0.26,0.26,174.4612136,-35.47498265
Mainland Island 62,1555,Bay of Plenty Region,Unnamed,0.33,0.02,176.0920915,-37.54490681
Mainland Island 63,1556,Waikato Region,Unnamed,1.8,0.37,175.9197145,-37.08604227
Mainland Island 72,1564,Auckland Region,Unnamed,0.09,0.07,175.1703413,-36.72299274
Mainland Island 74,1566,Waikato Region,Unnamed,0.42,0.09,175.5515877,-36.59267813
Mainland Island 75,1567,Auckland Region,Unnamed,0.67,0.48,174.8898796,-36.60081384
Mainland Island 76,1568,Waikato Region,Unnamed,0.32,0.07,175.3662661,-36.4419488
Mainland Island 78,1570,Auckland Region,Unnamed,0.21,0.15,175.0796397,-36.18520786
Mainland Island 79,1571,Auckland Region,Rakitu Island,2.21,1.61,175.4705181,-36.13340149
Mainland Island 80,1572,Auckland Region,Aiguilles Island,0.06,0.04,175.4070954,-36.03903241
Mainland Island 85,1575,Northland Region,Cavalli Islands,0.26,0.26,173.9821463,-34.99406332
Mainland Oysters 1,1596,Auckland Region,Unnamed,2.12,1.54,174.7276899,-36.49169211
Mainland Oysters 16,1597,Auckland Region,Unnamed,2.36,1.72,175.1699538,-36.80293957
Mainland Oysters 17,1599,Auckland Region,Unnamed,0.27,0.2,175.1250922,-36.83929055
Mainland Oysters 5,1603,Waikato Region,Unnamed,0.21,0.04,175.4346186,-36.81816769
Mainland Oysters 6,1604,Waikato Region,Unnamed,0.74,0.15,175.4885472,-36.76035763
Mainland Oysters 7,1606,Northland Region,Whangaroa Oysters Sites,1.32,1.32,173.7706299,-35.00049942
Mainland Oysters 18,1607,Auckland Region,Unnamed,0.15,0.11,174.7452518,-36.41575414
Mainland Mussels 3,1608,Auckland Region,Unnamed,0.36,0.26,175.066164,-36.83727495
Mainland Mussels 29,1625,Auckland Region,Port Fitzroy/Abercrombie Mussel Sites,2.69,1.96,175.3419631,-36.1619629
Mainland Mussels 18,1627,Waikato Region,Unnamed,0.53,0.11,175.4369037,-36.74994991
Mainland Mussels 19,1628,Waikato Region,Unnamed,0.53,0.11,175.6247887,-36.66511713
Mainland Mussels 22,1632,Waikato Region,Unnamed,0.85,0.18,175.4674524,-36.51428026
Mainland Mussels 36,1644,Waikato Region,Unnamed,0.21,0.04,175.4156267,-36.9193918
Mainland Oysters 9,1645,Waikato Region,Unnamed,0.21,0.04,175.6406363,-36.70426233
Mainland Mussels 37,1655,Waikato Region,Unnamed,0.53,0.11,175.4170709,-36.83478105
Mainland Oysters 12,1663,Northland Region,Taronui Bay Oyster Sites,0.79,0.79,174.0151343,-35.11777579
Mainland Oysters 14,1666,Northland Region,Rangaunu Harbour Oyster Sites,0.05,0.05,173.3179956,-34.90895024
Mainland Mussels 45,1669,Northland Region,Houhora Bay Mussel Sites,0.03,0.03,173.167434,-34.80671724
Mainland Salmon 12,1676,Auckland Region,Unnamed,1.18,0.86,174.8178135,-36.41716521
Mainland Oysters 19,1677,Waikato Region,Unnamed,1.38,0.29,175.6961025,-36.82228676
Mainland Mussels 48,1678,Waikato Region,Unnamed,0.64,0.13,175.3993694,-36.69642505
Mainland Aquaculture 3,1679,Northland Region,Inner North West Bay of Islands Aquaculture,3.19,3.19,174.091542,-35.22973932
Mainland Oysters 21,1683,Northland Region,Inner Bay of Islands' Oyster Sites,15,15,174.1287836,-35.2517752
Mainland Oysters 22,1684,Northland Region,Outer Bay of Islands' Oyster Sites,6.4,6.4,174.222284,-35.22000934
Mainland Oysters 23,1685,Northland Region,Whangarei Harbour Oyster Sites,0.53,0.53,174.4599966,-35.81785382
Mainland Aquaculture 4,1689,Waikato Region,Unnamed,1.27,0.26,175.4513903,-36.73294846
Mainland Mussels 54,1694,Auckland Region,Unnamed,1.18,0.86,175.1696467,-36.80611424
Homunga Bay,1742,Waikato Region,Unnamed,0.11,0.02,175.9455817,-37.36152647
