from,to,fromnID,tonID,vessels,Perc_tot,xx,yx,xy,yy
Mainland Mooring 51,Mainland CHS 64,1131,1288,1,0.01496334,175.3949998,-36.26189717,175.477856,-36.2195626
Mainland Mooring 65,Mainland CHS 64,1145,1288,2,0.02992668,174.8290975,-36.42373967,175.477856,-36.2195626
Mainland Mooring 47,Mainland CHS 7,1127,1231,1,0.01496334,174.3411403,-35.3128583,174.578853,-35.74037133
Mainland Mooring 51,Mainland CHS 8,1131,1232,2,0.02992668,175.3949998,-36.26189717,174.4837679,-35.97259011
Mainland Mooring 28,Mainland Island 10,1108,1471,8,0.119706719,175.7728926,-36.60053899,175.7935763,-36.69853323
Mainland Mooring 52,Mainland Island 11,1132,1472,1,0.01496334,175.345222,-36.16394119,175.8746827,-36.64255099
Mainland MR 23,Mainland Island 11,1207,1472,1,0.01496334,175.7916131,-36.81974085,175.8746827,-36.64255099
Mainland Mooring 28,Mainland Island 11,1108,1472,5,0.074816699,175.7728926,-36.60053899,175.8746827,-36.64255099
Mainland Mooring 51,Mainland Island 11,1131,1472,1,0.01496334,175.3949998,-36.26189717,175.8746827,-36.64255099
Mainland Beach 24,Mainland Island 12,1390,1474,1,0.01496334,175.4841941,-36.24546418,175.1519787,-35.93326371
Mainland Mooring 65,Mainland Island 13,1145,1473,1,0.01496334,174.8290975,-36.42373967,174.7321628,-35.95073586
Mainland Mooring 28,Mainland Island 62,1108,1555,1,0.01496334,175.7728926,-36.60053899,176.0920915,-37.54490681
Mainland Mooring 50,Mainland Island 63,1130,1556,1,0.01496334,175.4843148,-36.32646577,175.9197145,-37.08604227
Mainland Oysters 19,Mainland Island 63,1677,1556,1,0.01496334,175.6961025,-36.82228676,175.9197145,-37.08604227
Mainland Beach 69,Mainland Island 63,1436,1556,1,0.01496334,175.8625014,-36.87548225,175.9197145,-37.08604227
Mainland Marina 13,Mainland Island 63,1065,1556,7,0.104743379,175.8665103,-37.19703585,175.9197145,-37.08604227
Mainland Mooring 52,Mainland Island 63,1132,1556,1,0.01496334,175.345222,-36.16394119,175.9197145,-37.08604227
Mainland Marina 11,Mainland Island 63,1063,1556,1,0.01496334,175.7063407,-36.82209969,175.9197145,-37.08604227
Mainland Mooring 28,Mainland Island 63,1108,1556,5,0.074816699,175.7728926,-36.60053899,175.9197145,-37.08604227
Mainland Oysters 5,Mainland Island 72,1603,1564,1,0.01496334,175.4346186,-36.81816769,175.1703413,-36.72299274
Mainland Mooring 51,Mainland Island 72,1131,1564,1,0.01496334,175.3949998,-36.26189717,175.1703413,-36.72299274
Mainland MR 4,Mainland Island 72,1187,1564,1,0.01496334,174.7214806,-35.48802768,175.1703413,-36.72299274
Mainland Mooring 28,Mainland Island 74,1108,1566,4,0.059853359,175.7728926,-36.60053899,175.5515877,-36.59267813
Mainland Oysters 6,Mainland Island 75,1604,1567,1,0.01496334,175.4885472,-36.76035763,174.8898796,-36.60081384
Mainland Mooring 58,Mainland Island 75,1138,1567,9,0.134670058,174.9849346,-36.75476649,174.8898796,-36.60081384
Mainland Mooring 65,Mainland Island 75,1145,1567,12,0.179560078,174.8290975,-36.42373967,174.8898796,-36.60081384
Mainland Mooring 51,Mainland Island 76,1131,1568,1,0.01496334,175.3949998,-36.26189717,175.3662661,-36.4419488
Mainland Island 78,Mainland Island 76,1570,1568,1,0.01496334,175.0796397,-36.18520786,175.3662661,-36.4419488
Mainland Mooring 61,Mainland Island 76,1141,1568,1,0.01496334,175.1652109,-36.84364404,175.3662661,-36.4419488
Mainland Island 76,Mainland Island 78,1568,1570,1,0.01496334,175.3662661,-36.4419488,175.0796397,-36.18520786
Mainland Mooring 51,Mainland Island 78,1131,1570,1,0.01496334,175.3949998,-36.26189717,175.0796397,-36.18520786
Mainland Mussels 29,Mainland Island 78,1625,1570,4,0.059853359,175.3419631,-36.1619629,175.0796397,-36.18520786
Mainland Mooring 50,Mainland Island 78,1130,1570,1,0.01496334,175.4843148,-36.32646577,175.0796397,-36.18520786
Mainland Mooring 52,Mainland Island 79,1132,1571,68,1.017507108,175.345222,-36.16394119,175.4705181,-36.13340149
Mainland Beach 24,Mainland Island 79,1390,1571,1,0.01496334,175.4841941,-36.24546418,175.4705181,-36.13340149
Mainland Mooring 51,Mainland Island 79,1131,1571,1,0.01496334,175.3949998,-36.26189717,175.4705181,-36.13340149
Mainland Mussels 29,Mainland Island 79,1625,1571,3,0.044890019,175.3419631,-36.1619629,175.4705181,-36.13340149
Mainland Mooring 52,Mainland Island 80,1132,1572,2,0.02992668,175.345222,-36.16394119,175.4070954,-36.03903241
Mainland Mooring 36,Mainland Island 82,1116,1475,4,0.059853359,174.2344349,-35.23128279,175.1045345,-35.91000549
Mainland Island 80,Mainland Island 82,1572,1475,1,0.01496334,175.4070954,-36.03903241,175.1045345,-35.91000549
Mainland Mooring 36,Mainland Island 84,1116,1477,1,0.01496334,174.2344349,-35.23128279,174.4612136,-35.47498265
Mainland Mooring 46,Mainland Island 84,1126,1477,1,0.01496334,174.3886828,-35.39075876,174.4612136,-35.47498265
Mainland Mooring 51,Mainland Island 84,1131,1477,1,0.01496334,175.3949998,-36.26189717,174.4612136,-35.47498265
Mainland Mooring 44,Mainland Island 84,1124,1477,1,0.01496334,173.767753,-35.00289248,174.4612136,-35.47498265
Mainland Mooring 52,Mainland Island 84,1132,1477,2,0.02992668,175.345222,-36.16394119,174.4612136,-35.47498265
Mainland Mooring 42,Mainland Island 84,1122,1477,4,0.059853359,174.5217148,-35.83060401,174.4612136,-35.47498265
Mainland Mooring 44,Mainland Island 85,1124,1575,1,0.01496334,173.767753,-35.00289248,173.9821463,-34.99406332
Mainland Mooring 45,Mainland Island 85,1125,1575,1,0.01496334,173.9259023,-35.02296557,173.9821463,-34.99406332
Mainland Mooring 36,Mainland Island 85,1116,1575,3,0.044890019,174.2344349,-35.23128279,173.9821463,-34.99406332
Mainland Oysters 21,Mainland Island 85,1683,1575,5,0.074816699,174.1287836,-35.2517752,173.9821463,-34.99406332
Mainland Aquaculture 3,Mainland Marina 1,1679,1053,2,0.02992668,174.091542,-35.22973932,173.7419182,-35.06394306
Mainland Mooring 41,Mainland Marina 1,1121,1053,1,0.01496334,174.5511198,-35.62076887,173.7419182,-35.06394306
Mainland Beach 75,Mainland Marina 1,1444,1053,1,0.01496334,173.388053,-34.80824802,173.7419182,-35.06394306
Mainland Mooring 36,Mainland Marina 1,1116,1053,10,0.149633398,174.2344349,-35.23128279,173.7419182,-35.06394306
Mainland Mooring 45,Mainland Marina 1,1125,1053,19,0.284303457,173.9259023,-35.02296557,173.7419182,-35.06394306
Mainland Oysters 12,Mainland Marina 1,1663,1053,1,0.01496334,174.0151343,-35.11777579,173.7419182,-35.06394306
Mainland Island 85,Mainland Marina 1,1575,1053,1,0.01496334,173.9821463,-34.99406332,173.7419182,-35.06394306
Mainland Mooring 46,Mainland Marina 1,1126,1053,2,0.02992668,174.3886828,-35.39075876,173.7419182,-35.06394306
Mainland MR 4,Mainland Marina 1,1187,1053,4,0.059853359,174.7214806,-35.48802768,173.7419182,-35.06394306
Mainland Salmon 12,Mainland Marina 10,1676,1062,3,0.044890019,174.8178135,-36.41716521,174.9243674,-36.88052382
Mainland Mooring 25,Mainland Marina 10,1105,1062,3,0.044890019,175.434167,-36.82463204,174.9243674,-36.88052382
Mainland Mooring 58,Mainland Marina 10,1138,1062,26,0.389046835,174.9849346,-36.75476649,174.9243674,-36.88052382
Mainland Mooring 59,Mainland Marina 10,1139,1062,4,0.059853359,175.0339161,-36.82694775,174.9243674,-36.88052382
Mainland Mooring 51,Mainland Marina 10,1131,1062,2,0.02992668,175.3949998,-36.26189717,174.9243674,-36.88052382
Mainland Marina 9,Mainland Marina 10,1061,1062,11,0.164596738,174.7806808,-36.84457157,174.9243674,-36.88052382
Mainland Mussels 19,Mainland Marina 10,1628,1062,1,0.01496334,175.6247887,-36.66511713,174.9243674,-36.88052382
Mainland Mooring 50,Mainland Marina 10,1130,1062,1,0.01496334,175.4843148,-36.32646577,174.9243674,-36.88052382
Mainland Oysters 5,Mainland Marina 10,1603,1062,1,0.01496334,175.4346186,-36.81816769,174.9243674,-36.88052382
Mainland Mooring 60,Mainland Marina 10,1140,1062,10,0.149633398,175.0542783,-36.77993391,174.9243674,-36.88052382
Mainland Mooring 61,Mainland Marina 10,1141,1062,17,0.254376777,175.1652109,-36.84364404,174.9243674,-36.88052382
Mainland Mooring 28,Mainland Marina 10,1108,1062,3,0.044890019,175.7728926,-36.60053899,174.9243674,-36.88052382
Mainland Mooring 27,Mainland Marina 11,1107,1063,1,0.01496334,175.465709,-36.52258606,175.7063407,-36.82209969
Mainland Mooring 50,Mainland Marina 11,1130,1063,4,0.059853359,175.4843148,-36.32646577,175.7063407,-36.82209969
Mainland Mooring 30,Mainland Marina 11,1110,1063,45,0.673350292,175.7147573,-36.82193521,175.7063407,-36.82209969
Mainland Mooring 9,Mainland Marina 11,1089,1063,1,0.01496334,176.1834135,-37.66859873,175.7063407,-36.82209969
Mainland Island 11,Mainland Marina 11,1472,1063,4,0.059853359,175.8746827,-36.64255099,175.7063407,-36.82209969
Mainland Mooring 42,Mainland Marina 11,1122,1063,73,1.092323807,174.5217148,-35.83060401,175.7063407,-36.82209969
Mainland Mooring 28,Mainland Marina 11,1108,1063,31,0.463863534,175.7728926,-36.60053899,175.7063407,-36.82209969
Mainland Mooring 28,Mainland Marina 12,1108,1064,6,0.089780039,175.7728926,-36.60053899,175.8601196,-37.00047603
Mainland Oysters 19,Mainland Marina 12,1677,1064,1,0.01496334,175.6961025,-36.82228676,175.8601196,-37.00047603
Mainland Island 63,Mainland Marina 12,1556,1064,4,0.059853359,175.9197145,-37.08604227,175.8601196,-37.00047603
Mainland Mooring 28,Mainland Marina 13,1108,1065,15,0.224450097,175.7728926,-36.60053899,175.8665103,-37.19703585
Mainland Marina 14,Mainland Marina 13,1066,1065,14,0.209486757,176.1807249,-37.667248,175.8665103,-37.19703585
Mainland Island 63,Mainland Marina 13,1556,1065,7,0.104743379,175.9197145,-37.08604227,175.8665103,-37.19703585
Mainland Marina 11,Mainland Marina 14,1063,1066,1,0.01496334,175.7063407,-36.82209969,176.1807249,-37.667248
Mainland MR 2,Mainland Marina 14,1185,1066,48,0.718240311,176.2608625,-37.26126482,176.1807249,-37.667248
Mainland Oysters 19,Mainland Marina 14,1677,1066,5,0.074816699,175.6961025,-36.82228676,176.1807249,-37.667248
Mainland Oysters 22,Mainland Marina 14,1684,1066,2,0.02992668,174.222284,-35.22000934,176.1807249,-37.667248
Mainland Island 63,Mainland Marina 14,1556,1066,34,0.508753554,175.9197145,-37.08604227,176.1807249,-37.667248
Mainland Mooring 36,Mainland Marina 14,1116,1066,1,0.01496334,174.2344349,-35.23128279,176.1807249,-37.667248
